Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Access Type,Source,EID,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159,Column160,Column161,Column162,Column163,Column164,Column165,Column166,Column167,Column168,Column169,Column170,Column171,Column172,Column173,Column174,Column175,Column176,Column177,Column178,Column179,Column180,Column181,Column182,Column183,Column184,Column185,Column186,Column187,Column188,Column189,Column190,Column191,Column192,Column193,Column194,Column195,Column196,Column197,Column198,Column199,Column200,Column201,Column202,Column203,Column204,Column205,Column206,Column207,Column208,Column209,Column210,Column211,Column212,Column213,Column214,Column215,Column216,Column217,Column218,Column219,Column220,Column221,Column222,Column223,Column224,Column225,Column226,Column227,Column228,Column229,Column230,Column231,Column232,Column233,Column234,Column235,Column236,Column237,Column238,Column239,Column240,Column241,Column242,Column243,Column244,Column245,Column246,Column247,Column248,Column249,Column250,Column251,Column252,Column253,Column254,Column255,Column256,Column257,Column258,Column259,Column260,Column261,Column262,Column263,Column264,Column265,Column266,Column267,Column268,Column269,Column270,Column271,Column272,Column273,Column274,Column275,Column276,Column277,Column278,Column279,Column280,Column281,Column282,Column283,Column284,Column285,Column286,Column287,Column288,Column289,Column290,Column291,Column292,Column293,Column294,Column295,Column296,Column297,Column298,Column299,Column300,Column301,Column302,Column303,Column304,Column305,Column306,Column307,Column308,Column309,Column310,Column311,Column312,Column313,Column314,Column315,Column316,Column317,Column318,Column319,Column320,Column321,Column322,Column323,Column324,Column325,Column326,Column327,Column328,Column329,Column330,Column331,Column332,Column333,Column334,Column335,Column336,Column337,Column338,Column339,Column340,Column341,Column342,Column343,Column344,Column345,Column346,Column347,Column348,Column349,Column350,Column351,Column352,Column353,Column354,Column355,Column356,Column357,Column358,Column359,Column360,Column361,Column362,Column363,Column364,Column365,Column366,Column367,Column368,Column369
"Shabayek S., Medra A., Guindi R.",56080783200;56081367900;8278635600;,A 2.5 μwatts two stage wake-up receiver for Wireless Sensor Networks,2013,"2013 25th International Conference on Microelectronics, ICM 2013",,,6734978,,,,,10.1109/ICM.2013.6734978,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896761376&doi=10.1109%2fICM.2013.6734978&partnerID=40&md5=91f47070fec3ad7d58c70bfc5b6ec27b,"Microelectronics System Design, Nile University, Cairo, Egypt","Shabayek, S., Microelectronics System Design, Nile University, Cairo, Egypt; Medra, A., Microelectronics System Design, Nile University, Cairo, Egypt; Guindi, R., Microelectronics System Design, Nile University, Cairo, Egypt",Conference Paper,Final,,Scopus,2-s2.0-84896761376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salama E.S., El-Khoribi R.A., Shoman M.E., Wahby Shalaby M.A.",57205750189;56027538000;36959775000;55322264400;,A 3D-convolutional neural network framework with ensemble learning techniques for multi-modal emotion recognition,2020,Egyptian Informatics Journal,,,,,,,,10.1016/j.eij.2020.07.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089357795&doi=10.1016%2fj.eij.2020.07.005&partnerID=40&md5=edc1f0383d9ae804a61f8cf0c3972599,"Faculty of Computers, and Artificial Intelligence, Cairo University, Giza, Egypt; Smart Engineering Systems Research Center (SESC), Nile University, Giza, Egypt","Salama, E.S., Faculty of Computers, and Artificial Intelligence, Cairo University, Giza, Egypt; El-Khoribi, R.A., Faculty of Computers, and Artificial Intelligence, Cairo University, Giza, Egypt; Shoman, M.E., Faculty of Computers, and Artificial Intelligence, Cairo University, Giza, Egypt; Wahby Shalaby, M.A., Faculty of Computers, and Artificial Intelligence, Cairo University, Giza, Egypt, Smart Engineering Systems Research Center (SESC), Nile University, Giza, Egypt",Article,Article in Press,Open Access,Scopus,2-s2.0-85089357795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vaidyanathan S., Jafari S., Pham V.-T., Azar A.T., Alsaadi F.E.",57191607340;55196116900;36998895200;57208175025;57204294532;,"A 4-D chaotic hyperjerk system with a hidden attractor, adaptive backstepping control and circuit design",2018,Archives of Control Sciences,28,2,,239,254,,16,10.24425/123458,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049568950&doi=10.24425%2f123458&partnerID=40&md5=3dd4a191a1111c5314fbfbf0beb7462f,"Research and Development Centre, Vel Tech University, Avadi, Chennai, Tamil Nadu, 600062, India; Biomedical Engineering Department, Amirkabir University of Technology, Tehran, 15875-4413, Iran; Modeling Evolutionary Algorithms Simulation and Artificial Intelligence, Faculty of Electrical and Electronics Engineering, Ton Duc Thang University, Ho Chi Minh City, Viet Nam; Faculty of Computers and Information, Benha, Egypt; School of Engineering and Applied Sciences, Nile University, Sheikh Zayed District, Giza, Egypt; Department of Information Technology, Faculty of Computing and IT, King Ab-dulaziz University, Jeddah, Saudi Arabia","Vaidyanathan, S., Research and Development Centre, Vel Tech University, Avadi, Chennai, Tamil Nadu, 600062, India; Jafari, S., Biomedical Engineering Department, Amirkabir University of Technology, Tehran, 15875-4413, Iran; Pham, V.-T., Modeling Evolutionary Algorithms Simulation and Artificial Intelligence, Faculty of Electrical and Electronics Engineering, Ton Duc Thang University, Ho Chi Minh City, Viet Nam; Azar, A.T., Faculty of Computers and Information, Benha, Egypt, School of Engineering and Applied Sciences, Nile University, Sheikh Zayed District, Giza, Egypt; Alsaadi, F.E., Department of Information Technology, Faculty of Computing and IT, King Ab-dulaziz University, Jeddah, Saudi Arabia",Article,Final,,Scopus,2-s2.0-85049568950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Safwat S., Lotfy A., Ghoneima M., Ismail Y.",36996068800;36904246600;6506205211;7006103071;,A 5-10GHz low power bang-bang all digital PLL based on programmable digital loop filter,2012,ISCAS 2012 - 2012 IEEE International Symposium on Circuits and Systems,,,6271498,1371,1374,,,10.1109/ISCAS.2012.6271498,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866628731&doi=10.1109%2fISCAS.2012.6271498&partnerID=40&md5=67d60d846156cf615cd7f20e0b71627a,"Nano-electronics Integrated Systems Center (NISC), Nile University, Egypt","Safwat, S., Nano-electronics Integrated Systems Center (NISC), Nile University, Egypt; Lotfy, A., Nano-electronics Integrated Systems Center (NISC), Nile University, Egypt; Ghoneima, M., Nano-electronics Integrated Systems Center (NISC), Nile University, Egypt; Ismail, Y., Nano-electronics Integrated Systems Center (NISC), Nile University, Egypt",Conference Paper,Final,,Scopus,2-s2.0-84866628731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basyoni Y., Talaat H.",56262371500;14629359700;,A Bilevel Traffic Data Extraction Procedure via Cellular Phone Network for Intercity Travel,2015,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",19,3,,289,303,,5,10.1080/15472450.2014.892380,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938550316&doi=10.1080%2f15472450.2014.892380&partnerID=40&md5=46e1e3bbf8ab356db8b469f926a1c9a1,"Intelligent Transportation Systems Program, Nile University, Smart Village, Giza, Egypt; Public Works Department, Faculty of Engineering, Cairo University, Giza, Egypt","Basyoni, Y., Intelligent Transportation Systems Program, Nile University, Smart Village, Giza, Egypt; Talaat, H., Intelligent Transportation Systems Program, Nile University, Smart Village, Giza, Egypt, Public Works Department, Faculty of Engineering, Cairo University, Giza, Egypt",Article,Final,,Scopus,2-s2.0-84938550316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suinesiaputra A., Cowan B.R., Al-Agamy A.O., Elattar M.A., Ayache N., Fahmy A.S., Khalifa A.M., Medrano-Gracia P., Jolly M.-P., Kadish A.H., Lee D.C., Margeta J., Warfield S.K., Young A.A.",22434002000;7103199271;37019978100;55951661000;7006015230;7004440552;7101772509;23091453200;8558271200;7102750548;13806507700;55095353600;7005171959;7403881255;,A collaborative resource to build consensus for automated left ventricular segmentation of cardiac MR images,2014,Medical Image Analysis,18,1,,50,62,,85,10.1016/j.media.2013.09.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884915206&doi=10.1016%2fj.media.2013.09.001&partnerID=40&md5=535f080ea99475d7af19f30ac299f10d,"Department of Anatomy with Radiology, University of Auckland, New Zealand; Asclepios Research Project, INRIA Sophia-Antipolis, France; Center for Informatics Science, Nile University, Cairo, Egypt; Systems and Biomedical Engineering, Cairo University, Cairo, Egypt; Diagnosoft Inc., Cardiac Image Analysis, Morrisville, NC, United States; Feinberg Cardiovascular Research Institute, Northwestern University Feinberg School of Medicine, Chicago, United States; Computational Radiology Laboratory, Harvard Medical School, United States; Siemens Corporation, Corporate Technology, Imaging and Computer Vision, Princeton, NJ, United States; Biomedical Engineering Department, Helwan University, Cairo, Egypt","Suinesiaputra, A., Department of Anatomy with Radiology, University of Auckland, New Zealand; Cowan, B.R., Department of Anatomy with Radiology, University of Auckland, New Zealand; Al-Agamy, A.O., Center for Informatics Science, Nile University, Cairo, Egypt; Elattar, M.A., Diagnosoft Inc., Cardiac Image Analysis, Morrisville, NC, United States; Ayache, N., Asclepios Research Project, INRIA Sophia-Antipolis, France; Fahmy, A.S., Center for Informatics Science, Nile University, Cairo, Egypt, Systems and Biomedical Engineering, Cairo University, Cairo, Egypt; Khalifa, A.M., Diagnosoft Inc., Cardiac Image Analysis, Morrisville, NC, United States, Biomedical Engineering Department, Helwan University, Cairo, Egypt; Medrano-Gracia, P., Department of Anatomy with Radiology, University of Auckland, New Zealand; Jolly, M.-P., Siemens Corporation, Corporate Technology, Imaging and Computer Vision, Princeton, NJ, United States; Kadish, A.H., Feinberg Cardiovascular Research Institute, Northwestern University Feinberg School of Medicine, Chicago, United States; Lee, D.C., Feinberg Cardiovascular Research Institute, Northwestern University Feinberg School of Medicine, Chicago, United States; Margeta, J., Asclepios Research Project, INRIA Sophia-Antipolis, France; Warfield, S.K., Computational Radiology Laboratory, Harvard Medical School, United States; Young, A.A., Department of Anatomy with Radiology, University of Auckland, New Zealand",Article,Final,,Scopus,2-s2.0-84884915206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khalil M.F., Kassem S.S., Gadallah M.",57211316900;56960108100;7005555423;,A combined inventory and just in time policy under uncertainty:A simulation approach,2017,Journal of Engineering and Applied Science,64,3,,213,229,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073445539&partnerID=40&md5=8390a3bb38d6e1c76d1cef94e3c75626,"Cairo University, Faculty of Computers and Information Nile University, Industrial and Service Engineering Management Program, Egypt; Cairo University, Faculty of Engineering, Egypt","Khalil, M.F., Cairo University, Faculty of Engineering, Egypt; Kassem, S.S., Cairo University, Faculty of Computers and Information Nile University, Industrial and Service Engineering Management Program, Egypt; Gadallah, M., Cairo University, Faculty of Engineering, Egypt",Article,Final,,Scopus,2-s2.0-85073445539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malek J., Azar A.T.",16203443800;57208175025;,A computational flow model of oxygen transport in the retinal network,2016,"International Journal of Modelling, Identification and Control",26,4,,361,371,,3,10.1504/IJMIC.2016.081138,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008230392&doi=10.1504%2fIJMIC.2016.081138&partnerID=40&md5=b2b138f481b2b4bff24a7aba4679cb4c,"Faculty of Sciences, Electronics and Micro-Electronic Laboratory, Monastir University, Monastir, Tunisia; Faculty of Computers and Information, Benha University, Egypt; Nanoelectronics Integrated Systems Center (NISC), Nile University, Egypt","Malek, J., Faculty of Sciences, Electronics and Micro-Electronic Laboratory, Monastir University, Monastir, Tunisia; Azar, A.T., Faculty of Computers and Information, Benha University, Egypt, Nanoelectronics Integrated Systems Center (NISC), Nile University, Egypt",Article,Final,,Scopus,2-s2.0-85008230392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elattar M.A., Kaya A., Planken N.R., Baan J., Vanbavel E.T., De Mol B.A.J.M., Marquering H.A.",55951661000;55106913500;12774748100;26425485800;57217152867;26022350500;8674123800;,A computed tomography-based planning tool for predicting difficulty of minimally invasive aortic valve replacement,2018,Interactive Cardiovascular and Thoracic Surgery,27,4,,505,511,,4,10.1093/icvts/ivy128,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054291228&doi=10.1093%2ficvts%2fivy128&partnerID=40&md5=614e66ace36683927769da354f9e40ad,"Department of Biomedical Engineering and Physics, Academic Medical Center, University of Amsterdam, Amsterdam, Netherlands; Department of Informatics Science, Communication and Information Technology School, Nile University, Giza, Egypt; Department of Cardiothoracic Surgery, Academic Medical Center, University of Amsterdam, Amsterdam, Netherlands; Department of Radiology, Academic Medical Center, University of Amsterdam, Amsterdam, Netherlands; Department of Heart Center, Academic Medical Center, University of Amsterdam, Amsterdam, Netherlands","Elattar, M.A., Department of Biomedical Engineering and Physics, Academic Medical Center, University of Amsterdam, Amsterdam, Netherlands, Department of Informatics Science, Communication and Information Technology School, Nile University, Giza, Egypt; Kaya, A., Department of Cardiothoracic Surgery, Academic Medical Center, University of Amsterdam, Amsterdam, Netherlands; Planken, N.R., Department of Radiology, Academic Medical Center, University of Amsterdam, Amsterdam, Netherlands; Baan, J., Department of Heart Center, Academic Medical Center, University of Amsterdam, Amsterdam, Netherlands; Vanbavel, E.T., Department of Biomedical Engineering and Physics, Academic Medical Center, University of Amsterdam, Amsterdam, Netherlands; De Mol, B.A.J.M., Department of Cardiothoracic Surgery, Academic Medical Center, University of Amsterdam, Amsterdam, Netherlands, Department of Heart Center, Academic Medical Center, University of Amsterdam, Amsterdam, Netherlands; Marquering, H.A., Department of Biomedical Engineering and Physics, Academic Medical Center, University of Amsterdam, Amsterdam, Netherlands, Department of Radiology, Academic Medical Center, University of Amsterdam, Amsterdam, Netherlands",Article,Final,Open Access,Scopus,2-s2.0-85054291228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samy A.E., El-Beltagy S.R., Hassanien E.",57038565500;6506716427;55845989200;,A Context Integrated Model for Multi-label Emotion Detection,2018,Procedia Computer Science,142,,,61,71,,5,10.1016/j.procs.2018.10.461,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063277153&doi=10.1016%2fj.procs.2018.10.461&partnerID=40&md5=cbd60f904e31d21a26a2095a1f3b20f1,"Faculty of Computers and Information, Cairo University, Cairo, 12613, Egypt; Center for Information Science, Nile University, Giza, 12588, Egypt","Samy, A.E., Faculty of Computers and Information, Cairo University, Cairo, 12613, Egypt; El-Beltagy, S.R., Center for Information Science, Nile University, Giza, 12588, Egypt; Hassanien, E., Faculty of Computers and Information, Cairo University, Cairo, 12613, Egypt",Conference Paper,Final,Open Access,Scopus,2-s2.0-85063277153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Girgis A.M., Ercetin O., Nafie M., Elbatt T.",57193653385;6602506581;6701337161;6602728758;,A Converse Bound for Cache-Aided Interference Networks,2019,"Conference Record - Asilomar Conference on Signals, Systems and Computers",2018-October,,8645486,177,181,,2,10.1109/ACSSC.2018.8645486,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062990004&doi=10.1109%2fACSSC.2018.8645486&partnerID=40&md5=c8ccd54ed3b9bb4155236b3999db1492,"Wireless Intelligent Networks Center (WINC), Nile University, Cairo, Egypt; Faculty of Engineering and Natural Sciences, Sabanci University, Turkey; Electronics and Communications Engineering Dept., Faculty of Engineering, Cairo University, Egypt; Computer Science and Engineering Dept., American University in Cairo, Egypt","Girgis, A.M., Wireless Intelligent Networks Center (WINC), Nile University, Cairo, Egypt; Ercetin, O., Faculty of Engineering and Natural Sciences, Sabanci University, Turkey; Nafie, M., Wireless Intelligent Networks Center (WINC), Nile University, Cairo, Egypt, Computer Science and Engineering Dept., American University in Cairo, Egypt; Elbatt, T., Electronics and Communications Engineering Dept., Faculty of Engineering, Cairo University, Egypt, Computer Science and Engineering Dept., American University in Cairo, Egypt",Conference Paper,Final,,Scopus,2-s2.0-85062990004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saad H., Mohamed A., El Batt T.",55762905900;55763482600;35182858700;,A cooperative Q-learning approach for distributed resource allocation in multi-user femtocell networks,2014,"IEEE Wireless Communications and Networking Conference, WCNC",,,6952410,1490,1495,,15,10.1109/WCNC.2014.6952410,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912116955&doi=10.1109%2fWCNC.2014.6952410&partnerID=40&md5=055e1b1c55bb25dbb136fe441eb90e24,"Wireless Intelligence Network Center (WINC), Nile University, Cairo, Egypt; Computer Science and Engineering Department, Qatar University, P.O. Box 2713, Doha, Qatar; Electronics and Communications Departemnt, Faculty of Engineering, Cairo University, Giza, Egypt","Saad, H., Wireless Intelligence Network Center (WINC), Nile University, Cairo, Egypt; Mohamed, A., Computer Science and Engineering Department, Qatar University, P.O. Box 2713, Doha, Qatar; El Batt, T., Electronics and Communications Departemnt, Faculty of Engineering, Cairo University, Giza, Egypt",Conference Paper,Final,,Scopus,2-s2.0-84912116955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saad H., Mohamed A., Elbatt T.",55762905900;55763482600;6602728758;,A cooperative Q-learning approach for online power allocation in femtocell networks,2013,IEEE Vehicular Technology Conference,,,6692027,,,,13,10.1109/VTCFall.2013.6692027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893303586&doi=10.1109%2fVTCFall.2013.6692027&partnerID=40&md5=5e1e1ab88f081d2be72c1af857b4af37,"Wireless Intelligence Network Center (WINC), Nile University, Cairo, Egypt; Computer Science and Engineering Department, Qatar University, P.O. Box 2713, Doha, Qatar","Saad, H., Wireless Intelligence Network Center (WINC), Nile University, Cairo, Egypt; Mohamed, A., Computer Science and Engineering Department, Qatar University, P.O. Box 2713, Doha, Qatar; Elbatt, T., Computer Science and Engineering Department, Qatar University, P.O. Box 2713, Doha, Qatar",Conference Paper,Final,,Scopus,2-s2.0-84893303586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
